Dish,Count,Avg_Rating
porter,9,3.3333333333333335
seafood,6,3.8333333333333335
coffee,6,3.6666666666666665
ive,3,4.333333333333333
cool,3,4.0
breast,3,3.0
lime,3,2.6666666666666665
soda,2,5.0
cashew,2,5.0
spice,2,4.0
bagel,2,4.0
maine,2,4.0
daddy,2,4.0
cone,2,4.0
bison,2,3.5
set(),2,3.0
honey,2,2.5
sauce,2,2.5
egg,2,2.0
olive,1,5.0
taro,1,5.0
curry,1,5.0
polenta,1,5.0
mojito,1,5.0
lemon,1,5.0
crack,1,5.0
arepa,1,5.0
brew,1,5.0
hot,1,5.0
pasty,1,5.0
rice,1,5.0
bread,1,5.0
smore,1,5.0
skirt,1,5.0
mouse,1,5.0
apple,1,5.0
latte,1,5.0
venison,1,5.0
donut,1,4.0
mint,1,3.0
sweet,1,3.0
pesto,1,3.0
grill,1,3.0
burger,1,3.0
wagyu,1,3.0
persian,1,3.0
lager,1,3.0
brunch,1,2.0
parm,1,2.0
earl,1,2.0
boston,1,1.0
