Dish,Count,Avg_Rating
seafood,9938,4.37814449587442
rice,6508,4.407191149354635
lime,3724,4.325993555316865
chicken,3338,4.534451767525473
porter,3315,4.213876319758676
tater,2275,4.282637362637368
sauce,2241,4.570281124497995
east,2144,4.472947761194026
cheese,1965,4.572010178117039
pizza,1945,4.359383033419025
ale,1841,4.322107550244436
fried,1810,4.495580110497231
wagyu,1749,4.308747855917676
punch,1745,4.589684813753583
elote,1641,4.634369287020093
earl,1637,4.4318875992669335
cone,1564,4.115728900255737
arepa,1524,4.668635170603672
bread,1503,4.496340652029275
bear,1499,4.424282855236824
beer,1442,4.680998613037455
salad,1438,4.524339360222525
hot,1397,4.528990694345025
beef,1385,4.588447653429613
wine,1260,4.632539682539684
daddy,1201,4.466278101582015
pork,1161,4.684754521963819
flavour,1161,4.47545219638243
cole,1146,4.54712041884816
honey,1142,3.9964973730297677
sweet,1129,4.635961027457939
breast,1121,4.463871543264944
sandwich,1111,4.416741674167418
champagne,1093,4.655992680695334
pate,1086,4.384898710865566
spicy,1065,4.668544600938962
soup,1029,4.513119533527698
carne,1027,4.2590068159688395
burger,1026,4.4814814814814845
onion,988,4.52226720647774
sushi,987,4.584599797365758
ring,976,4.472336065573772
coffee,964,4.5425311203319465
steak,935,4.525133689839576
mouse,909,4.556655665566555
bbq,880,4.718181818181816
thigh,865,4.520231213872841
fish,856,4.560747663551403
chinese,839,4.519666269368287
mexican,837,4.681003584229386
sour,822,4.045012165450124
appetizer,739,4.671177266576453
pasty,724,4.3991712707182264
parm,721,4.443828016643546
pinot,715,4.2517482517482446
potato,696,4.739942528735631
danish,694,4.589337175792506
brittle,691,4.523878437047758
guinness,688,4.1351744186046515
bacon,687,4.58224163027656
salty,683,4.313323572474383
cashew,683,4.254758418740849
power,682,4.348973607038122
cool,680,4.688235294117646
durian,675,4.268148148148146
thai,670,4.55223880597014
wok,668,4.441616766467068
salsa,655,4.682442748091605
brunch,654,4.620795107033642
mint,649,4.377503852080119
chile,636,4.4685534591194935
maine,614,4.372964169381108
persian,611,4.2504091653027825
cake,602,4.656146179401991
taro,592,4.1587837837837816
cream,586,4.544368600682593
spice,579,4.483592400690848
dessert,578,4.636678200692039
pitcher,573,4.314136125654451
egg,569,4.602811950790861
flan,554,4.658844765342963
curry,540,4.516666666666668
chicago,537,4.607076350093109
latte,520,4.248076923076924
tea,515,4.572815533980582
crispy,513,4.742690058479534
polenta,509,4.754420432220032
shrimp,509,4.6168958742632595
pasta,501,4.516966067864277
shake,499,4.332665330661328
halo,493,4.121703853955375
leek,489,4.609406952965231
tacos,482,4.709543568464734
liver,466,4.09227467811159
weekend,464,4.508620689655171
dill,456,4.11842105263158
sprout,451,4.667405764966749
roll,450,4.591111111111114
eel,449,4.570155902004456
burrito,445,4.503370786516851
easter,445,4.233707865168539
broth,442,4.418552036199095
crab,431,4.392111368909515
apple,429,4.557109557109557
wheat,427,4.569086651053863
chai,415,4.42168674698795
blanc,412,4.097087378640766
bun,410,4.578048780487802
true,410,3.919512195121951
ice,404,4.346534653465346
seed,403,4.384615384615389
indian,399,4.624060150375941
set(),398,4.221105527638191
venison,397,4.493702770780853
korean,393,4.501272264631052
pizzas,391,4.460358056265986
aloo,389,4.3598971722365025
grill,380,4.492105263157891
cucumber,380,4.471052631578947
lettuce,374,4.382352941176472
cronut,373,4.024128686327076
cheek,366,4.0218579234972704
salmon,364,4.678571428571429
cookie,364,4.214285714285714
farm,356,4.592696629213486
bean,353,4.58640226628895
sausage,353,4.580736543909351
porcini,350,4.608571428571428
corn,348,4.632183908045976
sorbet,348,4.451149425287355
american,347,4.62247838616715
brisket,346,4.73988439306358
butter,341,4.592375366568915
duck,341,4.384164222873898
buffet,339,4.188790560471976
tapas,338,4.760355029585796
taco,336,4.455357142857145
juice,333,4.7357357357357355
tenderloin,325,4.8892307692307675
rustic,325,4.584615384615387
ribs,323,4.554179566563468
smore,318,4.072327044025162
tofu,316,4.594936708860756
citrus,309,4.3883495145631075
dough,309,4.320388349514562
slice,296,4.543918918918921
specialty,290,4.727586206896553
paneer,290,4.25862068965517
garlic,289,4.678200692041525
italian,288,4.569444444444444
olive,284,4.404929577464793
batter,282,4.489361702127657
french,280,4.632142857142861
milk,276,4.583333333333334
carmel,276,4.373188405797097
shell,273,3.7838827838827855
chocolate,270,4.677777777777777
asian,270,4.588888888888889
chili,269,4.6468401486988835
pho,261,4.666666666666667
cod,260,4.350000000000001
tomato,259,4.540540540540541
fry,258,4.3449612403100755
bisque,257,4.354085603112842
ive,254,4.074803149606294
pepper,252,4.5515873015873005
pie,252,4.460317460317457
skirt,252,4.373015873015871
lavender,248,4.161290322580647
basil,246,4.5243902439024435
filet,239,4.309623430962343
barbecue,237,4.734177215189875
ginger,236,4.588983050847458
bison,236,4.495762711864405
miso,235,4.638297872340427
greek,234,4.3461538461538485
lamb,233,4.600858369098716
frozen,229,4.091703056768558
rib,228,4.565789473684206
trio,225,4.648888888888889
bottomless,224,4.441964285714285
soy,224,4.0446428571428585
ham,220,4.718181818181816
tortilla,218,4.600917431192659
soda,217,4.400921658986171
tuna,215,4.493023255813948
chipotle,209,4.363636363636357
noodle,207,4.55555555555556
sesame,207,4.347826086956528
wonton,206,4.626213592233008
magic,205,4.760975609756097
mushroom,202,4.772277227722773
budino,202,4.381188118811881
coke,201,4.1044776119402995
fruit,200,4.835000000000004
milkshake,200,3.8
tako,199,4.301507537688438
pickle,196,4.316326530612245
princess,195,4.579487179487172
recipe,189,4.08994708994709
spinach,188,4.627659574468086
bagel,187,4.085561497326205
sugar,186,4.290322580645162
nachos,185,4.567567567567568
flower,183,3.6885245901639343
stew,182,4.494505494505496
crunchy,181,4.801104972375692
mango,181,4.7513812154696105
guacamole,180,4.561111111111112
moo,178,4.606741573033706
burritos,178,4.573033707865166
donut,178,4.191011235955058
cali,178,4.151685393258426
avocado,176,4.721590909090907
pancake,176,4.551136363636363
ayce,175,4.331428571428568
slaw,174,4.390804597701147
margarita,171,4.508771929824562
cornbread,170,4.799999999999999
naan,170,4.729411764705879
ranch,168,4.404761904761905
falafel,166,4.632530120481931
cilantro,164,4.7073170731707314
okra,164,4.359756097560975
peanut,160,4.6062499999999975
broccoli,160,4.5437499999999975
tart,159,4.540880503144655
cabbage,159,4.150943396226414
tahini,158,4.7405063291139244
crisps,157,4.585987261146491
queso,157,4.343949044585984
chorizo,156,4.852564102564102
steam,156,4.28846153846154
hash,153,4.647058823529417
smoke,153,4.5620915032679745
pita,153,4.509803921568629
boneless,153,4.045751633986927
grain,152,4.434210526315789
gyro,151,4.516556291390726
