Dish,Count,Avg_Rating
breast,7,4.571428571428571
seafood,7,4.285714285714286
rice,5,4.6
gravy,4,5.0
chicken,4,5.0
coffee,4,4.75
fried,3,5.0
porter,3,4.0
pate,2,5.0
punch,2,5.0
carne,2,5.0
ale,2,5.0
meatloaf,2,5.0
steak,2,5.0
sweet,2,5.0
arepa,2,3.0
cheese,1,5.0
halo,1,5.0
blueberry,1,5.0
snapper,1,5.0
cinnamon,1,5.0
wonton,1,5.0
bison,1,5.0
cookie,1,5.0
boneless,1,5.0
sausage,1,5.0
hash,1,5.0
persian,1,5.0
hot,1,5.0
waffle,1,5.0
omelet,1,5.0
earl,1,5.0
sandwich,1,5.0
beef,1,5.0
bacon,1,5.0
choy,1,5.0
karaage,1,5.0
remoulade,1,5.0
fish,1,5.0
fillet,1,5.0
scotch,1,5.0
fry,1,5.0
sauce,1,5.0
sesame,1,5.0
goat,1,5.0
guinness,1,5.0
honey,1,5.0
smore,1,5.0
egg,1,5.0
budino,1,5.0
frozen,1,5.0
seed,1,5.0
danish,1,5.0
quail,1,5.0
lime,1,5.0
swirl,1,5.0
eel,1,5.0
wheat,1,5.0
tater,1,5.0
cajun,1,5.0
trio,1,5.0
apple,1,5.0
juice,1,5.0
pollo,1,5.0
cabbage,1,5.0
broccoli,1,5.0
cheesy,1,5.0
dessert,1,5.0
set(),1,4.0
wagyu,1,4.0
cole,1,4.0
french,1,4.0
daddy,1,4.0
bear,1,3.0
bellini,1,1.0
vegas,1,1.0
taro,1,1.0
