Dish,Count,Avg_Rating
seafood,83389,4.423413160009125
rice,53628,4.471078541060635
chicken,31967,4.585478774986678
lime,30326,4.359130778869654
porter,26988,4.250741070105191
charlotte,21265,4.746625911121551
cheese,19151,4.634692705341712
tater,19132,4.365199665481907
ale,17247,4.352641039021251
sauce,16715,4.624708345797202
punch,16453,4.626876557466685
wine,16141,4.66879375503375
bear,15858,4.498108210367001
wagyu,14825,4.38657672849923
east,14778,4.493097848152644
fried,14221,4.6249912101821415
arepa,14124,4.657250070801486
earl,14005,4.5044626918957595
salad,13861,4.567130798643711
beer,13745,4.684176064023278
cone,12647,4.234363880762272
pizza,12305,4.485900040633857
elote,11811,4.631529929726518
bread,11224,4.577779757662126
burger,11041,4.586269359659453
flavour,10626,4.516657255787686
daddy,10551,4.570941143019609
hot,10521,4.563919779488637
breast,10501,4.583373012094064
sweet,10190,4.696172718351325
pate,9708,4.430366707869774
pork,9597,4.726477024070062
ring,9486,4.531730971958709
mouse,9374,4.622999786643915
honey,9337,4.05547820499091
carne,8741,4.311406017618104
shrimp,8680,4.631682027649783
sushi,8463,4.6036866359447
cole,8454,4.52413058907025
onion,8006,4.591931051711224
beef,7919,4.637959338300292
sandwich,7894,4.513807955409205
coffee,7018,4.611997720148183
appetizer,6994,4.633828996282539
steak,6985,4.556764495347167
durian,6950,4.415827338129513
pinot,6911,4.413109535523091
thigh,6811,4.53208045808253
soup,6784,4.578567216981147
dessert,6765,4.780487804878035
fish,6755,4.594374537379716
bacon,6744,4.684163701067606
brunch,6704,4.643943914081151
parm,6405,4.524746291959422
bbq,6392,4.712609511889861
brittle,6312,4.637198986058305
cool,6023,4.740826830483154
spicy,6005,4.758201498751022
wok,5999,4.4735789298216355
cake,5951,4.635187363468326
sour,5951,4.078306167030758
sprout,5923,4.752659125443172
pasty,5850,4.478974358974356
mint,5743,4.350165418770681
guinness,5458,4.132466104800311
leek,5341,4.6549335330462265
flan,5244,4.705758962623964
chile,5194,4.4393530997304715
potato,5148,4.753496503496494
maine,5136,4.423091900311521
power,5023,4.454708341628495
polenta,5003,4.715770537677398
crab,4995,4.5555555555555625
cream,4945,4.684732052578351
cashew,4895,4.292747701736466
danish,4876,4.588392124692357
roll,4769,4.6477248899140315
salty,4742,4.406579502319713
pasta,4680,4.588888888888867
salsa,4630,4.609503239740825
persian,4415,4.281993204982994
pitcher,4364,4.1663611365719415
spice,4329,4.5414645414645545
shake,4302,4.46536494653649
egg,4226,4.542120208234744
tacos,4207,4.637746612788218
venison,4174,4.533780546238619
mexican,4144,4.572393822393819
apple,4087,4.680450207976502
cheek,4027,4.094611373230686
crispy,4023,4.815311956251555
cronut,3961,4.253723807119418
halo,3926,4.293683138053999
taro,3838,4.213131839499726
easter,3786,4.1944004226096325
dill,3785,4.085601056803182
weekend,3749,4.675646839157114
latte,3730,4.218766756032181
eel,3686,4.6340206185567165
corn,3681,4.76691116544417
salmon,3590,4.719777158774363
butter,3583,4.67876081495953
seed,3534,4.467741935483874
tea,3499,4.598456701914838
wheat,3413,4.670377966598313
pao,3405,4.777092511013199
buffet,3400,4.472647058823523
magic,3393,4.7480106100795725
lavender,3383,4.336387821460244
chai,3327,4.412082957619469
rustic,3315,4.666666666666665
blanc,3294,4.115361262902258
bean,3283,4.701797136765159
juice,3241,4.767664301141624
set(),3188,4.359473023839371
curry,3157,4.557174532784292
lettuce,3141,4.34670487106018
cookie,3111,4.33686917389907
aloo,3102,4.423275306254021
broth,3061,4.494609604704349
true,3033,4.050115397296405
grill,3003,4.370629370629367
italian,2938,4.684479237576584
filet,2898,4.524844720496883
tenderloin,2881,4.884415133634149
thai,2875,4.64313043478261
duck,2871,4.553814002089865
tapas,2848,4.804073033707875
chinese,2842,4.476073187895847
brisket,2835,4.743209876543209
carmel,2828,4.480905233380468
ribs,2825,4.660884955752213
cucumber,2822,4.609851169383416
cod,2809,4.379850480598087
french,2776,4.728746397694525
ice,2752,4.378633720930254
bun,2737,4.540007307270731
taco,2725,4.490275229357793
greek,2706,4.442719881744269
batter,2680,4.449626865671646
chocolate,2635,4.815559772296004
dough,2546,4.536527886881371
avocado,2539,4.727451752658521
farm,2492,4.642455858748
porcini,2479,4.67809600645422
slaw,2473,4.660735948241004
sausage,2469,4.686107735925466
indian,2466,4.610300081102997
specialty,2457,4.708180708180704
bisque,2453,4.345291479820628
chili,2445,4.653169734151327
garlic,2435,4.714579055441475
burrito,2397,4.474342928660826
liver,2368,4.1782094594594605
spinach,2331,4.682110682110676
dip,2326,4.736887360275154
tomato,2303,4.631350412505434
bagel,2287,4.208132925229561
pie,2273,4.645402551693809
tuna,2245,4.581737193763914
queso,2235,4.499776286353466
hash,2176,4.635110294117656
asian,2162,4.639222941720635
ive,2142,4.30345471521943
trio,2136,4.7420411985018776
lamb,2135,4.75971896955504
sorbet,2067,4.568456700532178
lobster,2061,4.641921397379911
skirt,2041,4.487996080352764
ginger,2039,4.636586562040216
citrus,2038,4.645731108930324
shell,2027,4.104588061174148
slice,2022,4.5633036597428225
buffalo,2006,4.619641076769697
pho,1992,4.687751004016065
pepper,1927,4.604047742605087
soy,1910,4.051308900523559
bison,1903,4.4640042038886065
frozen,1901,4.257759074171468
guacamole,1860,4.624193548387106
donut,1859,4.357181280258202
smore,1849,4.035154137371553
creamy,1847,4.77476989713047
biscuit,1839,4.530723219140832
moo,1819,4.702583837273229
crunchy,1807,4.722191477587153
calamari,1792,4.709263392857155
fruit,1787,4.6877448237269
broccoli,1775,4.584788732394357
american,1770,4.535593220338984
olive,1769,4.365178066704363
ham,1740,4.670689655172404
coke,1739,4.209890741805636
cocktail,1733,4.746682054241205
ayce,1733,4.396422388920935
ranch,1714,4.414819136522754
poutine,1701,4.694885361552026
pizzas,1699,4.635079458505005
flower,1669,4.096464949071295
tako,1666,4.390156062424976
paneer,1658,4.39987937273824
tart,1657,4.6179843089921455
boneless,1645,4.001215805471121
basil,1637,4.720830788026879
veggie,1629,4.7133210558625045
margarita,1626,4.601476014760152
lemon,1623,4.611213801601973
hummus,1619,4.731933292155648
sesame,1590,4.37987421383648
mushroom,1578,4.692015209125464
nachos,1572,4.575063613231557
delish,1571,4.807129217059194
budino,1545,4.633656957928799
bottomless,1541,4.380272550292018
jalapeno,1536,4.785156250000002
banana,1535,4.800000000000005
chow,1515,4.628382838283831
milkshake,1513,3.864507600793126
pickle,1499,4.454969979986657
gravy,1482,4.558029689608631
bon,1455,4.670103092783504
okra,1407,4.50106609808103
rib,1405,4.7032028469750875
cali,1404,4.225071225071223
sugar,1387,4.585436193222786
turkey,1382,4.637481910274971
plantain,1366,4.301610541727671
wing,1359,4.419426048565118
soda,1352,4.415680473372789
steam,1346,4.447251114413071
housemade,1341,4.805369127516786
hibachi,1340,4.517164179104463
grain,1329,4.4943566591422135
toast,1327,4.51318764129616
cabbage,1324,4.445619335347439
desert,1304,4.608128834355823
pita,1299,4.414934565050031
cheesecake,1294,4.752704791344664
mustard,1287,4.689199689199693
fin,1286,4.528771384136862
tahini,1278,4.576682316118935
milk,1273,4.585231736056565
stew,1264,4.453322784810122
karaage,1247,4.523656776263037
princess,1242,4.538647342995164
cilantro,1238,4.76655896607431
cornbread,1237,4.731608730800324
scone,1234,4.469205834683949
bakery,1232,4.729707792207786
smoke,1227,4.5110024449877715
wrap,1221,4.5495495495495595
miso,1220,4.581147540983608
barbecue,1217,4.684470008216923
cajun,1216,4.703124999999998
carolina,1204,4.744186046511635
mary,1204,4.56312292358803
falafel,1203,4.750623441396507
tinga,1198,4.272120200333889
grilled,1195,4.790794979079496
omelet,1181,4.633361558001693
waffle,1179,4.507209499575912
crisps,1177,4.747663551401865
recipe,1148,4.040069686411149
oatmeal,1146,4.753926701570682
layer,1141,4.453987730061349
chipotle,1138,4.439367311072049
coconut,1112,4.757194244604318
mojito,1102,4.857531760435572
chip,1097,4.690975387420242
brownie,1093,4.708142726440988
fry,1082,4.467652495378928
cant,1077,4.4856081708449365
tortilla,1074,4.49162011173184
maple,1070,4.542990654205602
mayo,1070,4.472897196261674
pepperoni,1065,4.622535211267606
smoothie,1062,4.496233521657256
cowboy,1045,4.6239234449760716
trout,1040,4.64423076923077
