Dish,Count,Avg_Rating
seafood,433738,4.454424099340987
rice,313090,4.5007026733528255
lime,174253,4.401594233671763
porter,143801,4.293697540350905
chicken,135398,4.587187403063665
vegas,129425,4.6899053505890995
tater,114863,4.398640119098274
east,95610,4.490220688212542
ale,87940,4.393131680691441
wagyu,86561,4.405656126893134
shrimp,84846,4.693644956745112
fried,82104,4.63985920296209
sauce,79473,4.634831955506938
cheese,78848,4.622831270292204
earl,78209,4.5683105524939105
hot,71003,4.514696562117071
bear,69251,4.511776003234653
wine,68586,4.653384072551219
bread,67670,4.61439337963651
breast,67182,4.585662826352286
cone,66587,4.261162088696006
salad,65349,4.609710936663118
elote,63142,4.627870514079408
beef,62005,4.661559551649056
punch,59906,4.643124227957159
flavour,58636,4.524234258817059
steak,57886,4.6385654562415
pizza,56829,4.4596420841471796
honey,56229,4.080314428497757
burger,55431,4.533618372390886
daddy,54834,4.553397527081788
mouse,53099,4.629616376956239
dessert,52910,4.7744282744283195
pate,50713,4.4731725593042935
sushi,50593,4.603680351036653
sweet,50303,4.719718505854604
carne,50074,4.337420617486151
buffet,46336,4.436118784530436
ring,46162,4.507452016810349
soup,43988,4.582340638355895
pork,43957,4.695042882817316
thigh,41090,4.5236067169627745
arepa,40644,4.643342190729231
crab,39610,4.539055793991417
cole,39557,4.5197310210581705
onion,39243,4.600412812476121
fish,39240,4.5873853211009274
pasty,39004,4.5160752743308645
pinot,37648,4.469294517637077
coffee,37437,4.5619307102599
parm,37132,4.535925886028243
bacon,37024,4.680288461538471
brittle,36575,4.64254272043747
cream,36276,4.69751350755322
sour,35934,4.233622752824615
beer,35529,4.638886543387076
spicy,34932,4.737175083018409
mint,34217,4.371072858520618
cool,32990,4.699363443467688
persian,32947,4.374116004492085
sandwich,32915,4.480540786875277
durian,31717,4.395686855629484
cake,31539,4.655981483242976
brunch,31126,4.639850928484209
egg,30896,4.66782107716208
danish,30422,4.697718756163318
salty,30345,4.455297413082857
asian,30159,4.581120063662574
sprout,29837,4.726447028856777
shake,29420,4.564649898028512
appetizer,29221,4.66804695253409
taro,29030,4.241887702376849
maine,28301,4.448464718561174
chile,27284,4.497067878610121
flan,27148,4.718653307794375
cashew,27097,4.240653946931384
chocolate,25683,4.7793482069851745
pasta,25496,4.576874803890818
bbq,25467,4.669454588290697
guinness,25273,4.143156728524543
dill,24922,4.1173661824893495
wok,24887,4.408486358339673
butter,24488,4.726886638353452
juice,24434,4.770770238192654
crispy,24394,4.822415348036394
power,24303,4.498909599637906
spice,23867,4.545565006075325
rib,23387,4.684183520759378
cheek,22816,4.1672510518934365
lobster,22813,4.691842370578171
roll,22800,4.630570175438625
carmel,22709,4.55695979567569
cronut,22626,4.265358437196155
broth,22386,4.576521039935699
halo,22349,4.332721822005427
filet,22208,4.583618515850114
tea,21970,4.660172963131586
tenderloin,21851,4.869342364193894
potato,21801,4.75395624053942
trio,21211,4.6899250388949145
eel,21156,4.63334278691627
mexican,20449,4.596508386718194
polenta,19849,4.705375585671792
aloo,19807,4.462715201696395
thai,19516,4.678725148596044
tacos,19491,4.575342465753415
weekend,19368,4.620559686080135
leek,19247,4.58689665921958
pitcher,19148,4.313505326927066
latte,19048,4.304861402771969
salmon,19020,4.714826498422695
salsa,18358,4.616352543850086
easter,18351,4.055691787913476
ayce,18167,4.513788737821343
ice,18143,4.414484925315552
venison,18092,4.553006853858037
seed,17977,4.474940201368404
curry,17863,4.637238985612725
rustic,17618,4.658814848450443
duck,17484,4.482269503546142
chow,17462,4.582006642996232
french,17415,4.726614987080113
garlic,17338,4.7592571230822145
italian,17201,4.7094354979361475
corn,17169,4.746869357563051
apple,16844,4.646461648064616
wheat,16758,4.646556868361363
chinese,16426,4.5181419700474965
cookie,16045,4.360860081022096
set(),15993,4.346651660101292
blanc,15940,4.114491844416615
bean,15873,4.639639639639618
true,15465,4.005108309085044
grill,15408,4.430166147455847
lavender,15110,4.365651886168125
shell,14979,4.1403297950463855
batter,14967,4.458809380637383
ribs,14375,4.626643478260865
hash,14268,4.64760302775435
specialty,14100,4.596666666666685
porcini,13793,4.709925324439933
coke,13758,4.259630760284896
cod,13470,4.449146250928014
bun,13463,4.50419668721685
taco,13263,4.455176053683204
burrito,13229,4.455892357698989
cucumber,13196,4.566232191573182
liver,13136,4.249390986601726
sausage,13110,4.64424103737603
dough,12971,4.4143088428031785
cocktail,12933,4.717698909765737
tuna,12822,4.641787552643871
pho,12749,4.500352968860347
lettuce,12627,4.399144689950097
chili,12562,4.644562967680303
chai,12534,4.315541726503898
avocado,12327,4.70852599983775
desert,12301,4.61799853670434
boba,12277,4.651217724199697
bisque,11873,4.408237176787675
slice,11825,4.568964059196588
magic,11589,4.720683406678739
lamb,11518,4.74118770619898
fruit,11496,4.696155184412001
ive,11470,4.386399302528341
spinach,11447,4.683585218834629
noodle,11405,4.605348531345916
sorbet,11357,4.5868627278330445
creamy,11202,4.815033029816131
farm,11152,4.604734576757521
citrus,11134,4.677115142805823
soy,11067,4.101111412306857
skirt,11050,4.521085972850657
american,10891,4.638600679460102
banana,10882,4.79470685535746
asada,10606,4.442202526871554
dim,10401,4.490337467551174
brisket,10367,4.667792032410518
pao,10361,4.755332496863234
crunchy,10314,4.773317820438233
bottomless,10175,4.499852579852595
donut,10080,4.3515873015873385
tart,9995,4.623111555777878
mushroom,9978,4.7567648827420355
pepper,9850,4.603857868020309
ham,9802,4.640889614364423
frozen,9774,4.365766318805007
calamari,9770,4.715864892528162
lemon,9770,4.65527123848514
tapas,9762,4.774841221061257
miso,9710,4.681462409886718
pie,9701,4.628698072363664
milk,9658,4.584800165665785
bon,9625,4.733506493506488
tomato,9571,4.6673283878382845
sugar,9381,4.598976654940817
greek,9243,4.468679000324567
ginger,9203,4.649462131913525
japanese,9109,4.769568558568452
ranch,9048,4.3996463306808264
sesame,9006,4.441816566733297
caesar,8827,4.645179562705347
bison,8812,4.43145710394917
gelato,8784,4.71209016393443
poutine,8782,4.682874060578466
olive,8765,4.463890473474034
soda,8705,4.276048248133246
gravy,8635,4.625477707006391
smore,8617,4.108274341418137
omelet,8612,4.6372503483511265
flower,8606,4.270857541250301
moo,8282,4.693673025839166
sashimi,8170,4.750428396572845
bagel,8153,4.144364037777514
toast,8077,4.608518014114157
nachos,8046,4.506835694755176
delish,7963,4.795680020092929
milkshake,7955,3.922941546197361
sage,7942,4.512213548224603
guacamole,7910,4.5908975979772215
cali,7898,4.287794378323614
indian,7831,4.617545651896321
truffle,7820,4.838874680306892
steakhouse,7769,4.718496589007595
dip,7667,4.7018390504760585
princess,7603,4.601341575693819
pizzas,7593,4.54998024496249
steam,7566,4.4785884218873875
satay,7494,4.497864958633594
cheesecake,7469,4.733029856741193
tartine,7401,4.599513579246039
coconut,7386,4.798402382886529
mango,7376,4.78430043383944
margarita,7234,4.607685927564256
slaw,7217,4.474989607870306
smoothie,7167,4.334589088879596
ribeye,7118,4.74824388873278
curd,7098,4.208650324034956
tahini,7024,4.56093394077449
smoke,7006,4.473023123037392
jalapeno,6979,4.7463820031523145
pickle,6978,4.355832616795636
basil,6953,4.747878613548136
plantain,6945,4.307127429805597
karaage,6943,4.532766815497646
paneer,6916,4.373915558126079
turkey,6855,4.592560175054699
cant,6843,4.427005699254709
dan,6842,4.479976615024849
fin,6837,4.567354102676603
tako,6835,4.3918068763716205
boneless,6773,4.103203897829607
recipe,6722,3.992710502826547
mojito,6622,4.85200845665963
tofu,6574,4.707331913599027
korean,6571,4.674783138030752
shank,6563,4.529788206612837
oatmeal,6504,4.728936039360385
tinga,6462,4.366450015475093
crisps,6404,4.777170518425982
bella,6367,4.626982880477438
pepperoni,6355,4.557041699449272
mary,6352,4.599653652392931
grain,6273,4.466602901323133
chip,6264,4.721902937420187
pancake,6253,4.591076283383974
asparagus,6130,4.8148450244698315
cowboy,6124,4.674885695623776
eggplant,6089,4.695352274593565
layer,6084,4.513971071663361
roast,6075,4.558847736625512
savory,6073,4.892145562325049
maple,6037,4.600960742090439
patty,6031,4.611009782788896
okra,6019,4.4490779199202475
holy,6018,4.2675307411099945
wing,5961,4.456131521556795
chowder,5906,4.518455807653248
san,5884,4.662134602311337
mayo,5849,4.555308599760635
hawaiian,5840,4.758732876712357
candy,5796,4.690303657694949
sake,5664,4.710628531073454
madness,5613,3.9510065918403736
snack,5577,4.71113501882732
waffle,5564,4.70488856937454
stew,5557,4.474896526903002
queso,5541,4.307164771701833
strawberry,5518,4.77201884740848
buffalo,5513,4.6087429711590735
oyster,5495,4.630755232029128
veggie,5476,4.653396639883103
crepe,5471,4.6841528057028
buttery,5469,4.8816968367160385
tortilla,5437,4.488688615045063
chipotle,5435,4.570377184912602
cabbage,5427,4.304956697991513
scone,5416,4.548190546528803
housemade,5350,4.773084112149524
wonton,5341,4.64220183486238
compote,5328,4.420983483483465
grilled,5298,4.753303133257855
torta,5292,4.29440665154951
matcha,5287,4.566105541895226
mozzarella,5275,4.711090047393385
bakery,5264,4.703077507598776
broccoli,5232,4.583333333333333
plum,5182,4.772288691624866
cheesy,5169,4.771329077190943
shack,5079,4.467414845442024
frosting,5070,4.472978303747545
pastry,5062,4.722244172263927
cinnamon,5054,4.776414721013062
hummus,5044,4.684179222839021
nutella,5020,4.345219123505988
caramel,5010,4.821956087824344
champagne,4988,4.792301523656766
cutlet,4979,4.73568989756979
petite,4974,4.39686369119422
pineapple,4908,4.7290138549307175
carrot,4906,4.632286995515686
benny,4899,4.664013063890569
creme,4886,4.725133033155961
mustard,4882,4.640925850061447
brulee,4852,4.733718054410556
crack,4844,4.596614368290668
marrow,4812,4.662926018287613
omelette,4801,4.6427827535929955
cilantro,4792,4.747287145242065
nigiri,4751,4.645758787623658
protein,4741,4.626450116009285
martini,4732,4.737531699070174
udon,4651,4.237153300365514
meatball,4639,4.614787669756431
almond,4615,4.776381365113759
cheddar,4615,4.749079089924154
fry,4601,4.422516844164329
peach,4582,4.69183762549105
iced,4582,4.579223046704485
grape,4494,4.491544281263903
ceviche,4490,4.7149220489977814
gouda,4474,4.484130531962444
oxtail,4430,4.723702031602712
vegetable,4425,4.489491525423722
malt,4412,4.6470988213962
ketchup,4396,4.4094631483166475
sando,4373,4.504687857306176
clam,4359,4.408809359944947
wrap,4354,4.432705558107489
syrup,4336,4.605166051660522
peanut,4313,4.595177370739637
gyro,4307,4.609937311353611
tempura,4293,4.730258560447241
quiche,4261,4.724712508800741
fudge,4244,4.705702167766261
assortment,4198,4.675321581705582
cactus,4192,4.318940839694649
brew,4171,4.7010309278350535
sundae,4139,4.568978014013048
velvet,4130,4.794915254237297
goose,4127,4.793070026653745
pita,4089,4.416238689166055
puree,4066,4.503197245450086
scotch,4058,4.703794972893041
espresso,4000,4.58375000000001
souffle,3993,4.811419984973693
burritos,3993,4.560480841472578
pastor,3984,4.6069277108433635
sangria,3981,4.827932680231098
march,3936,4.617378048780485
biscuit,3898,4.62801436634173
moon,3888,4.524176954732523
trout,3869,4.584130266218658
pesto,3862,4.707923355774212
chilli,3856,4.399636929460587
mash,3851,4.569202804466372
lean,3838,4.6240229286086505
float,3820,4.504188481675398
paradise,3806,4.681292695743546
octopus,3803,4.781488298711541
arugula,3799,4.761779415635682
radish,3790,3.989182058047493
cajun,3780,4.7320105820105836
lemonade,3748,4.640074706510135
fillet,3724,4.666219119226644
wedge,3717,4.547215496368035
scoop,3698,4.685235262303968
choy,3694,4.762858689767201
cheeseburger,3668,4.471919302071966
custard,3635,4.63163686382394
budino,3611,4.494045970645247
beet,3597,4.69307756463721
cherry,3591,4.717070453912559
