Dish,Count,Avg_Rating
seafood,29,4.448275862068965
rice,20,4.3999999999999995
coffee,18,4.944444444444445
arepa,14,4.928571428571429
pizza,13,5.0
porter,9,3.2222222222222223
elote,8,5.0
fried,8,5.0
bread,8,4.5
breast,7,5.0
cheese,7,5.0
cone,7,5.0
punch,7,4.428571428571429
lime,7,4.428571428571429
poutine,7,4.142857142857143
cole,7,4.0
canadian,7,3.4285714285714284
onion,7,3.4285714285714284
daddy,6,5.0
sauce,6,5.0
earl,6,4.333333333333333
wine,5,5.0
soup,5,5.0
flavour,5,3.4
chicken,5,3.4
cream,4,5.0
guinness,4,5.0
parm,4,5.0
tea,4,5.0
pinot,4,4.75
ring,4,4.0
tater,4,4.0
buffet,4,4.0
salad,4,4.0
steak,4,3.25
soda,4,3.25
wagyu,4,3.0
beer,4,3.0
carne,4,2.0
french,3,5.0
hash,3,5.0
durian,3,5.0
leek,3,5.0
sprout,3,5.0
pie,3,5.0
hot,3,5.0
egg,3,5.0
sandwich,3,5.0
chip,3,5.0
cake,3,5.0
ale,3,5.0
bbq,3,5.0
polenta,3,4.666666666666667
burger,3,4.666666666666667
beef,3,3.6666666666666665
sour,3,3.6666666666666665
maine,3,3.6666666666666665
pasta,3,3.6666666666666665
hamburger,3,3.6666666666666665
dill,3,2.6666666666666665
carmel,3,2.6666666666666665
bear,3,2.3333333333333335
cheeseburger,3,2.3333333333333335
bacon,2,5.0
omelette,2,5.0
crisps,2,5.0
toast,2,5.0
fin,2,5.0
ginger,2,5.0
butter,2,5.0
tomato,2,5.0
princess,2,5.0
fudge,2,5.0
sundae,2,5.0
citrus,2,5.0
champagne,2,5.0
east,2,5.0
housemade,2,5.0
porridge,2,5.0
mozzarella,2,5.0
brittle,2,5.0
roll,2,5.0
ive,2,5.0
power,2,5.0
oat,2,5.0
greek,2,5.0
milk,2,5.0
eel,2,5.0
ice,2,5.0
dessert,2,5.0
burrito,2,5.0
rustic,2,5.0
salty,2,5.0
frozen,2,5.0
shrimp,2,5.0
maple,2,5.0
potato,2,5.0
aloo,2,4.5
set(),2,4.5
boneless,2,3.5
scone,2,3.5
dough,2,3.5
fish,2,3.5
easter,2,3.0
cashew,2,3.0
juice,2,3.0
chinese,2,3.0
pate,2,3.0
gravy,2,3.0
coke,2,3.0
latte,2,3.0
tako,2,1.5
scallion,2,1.5
chai,2,1.5
honey,2,1.5
milkshake,2,1.0
recipe,2,1.0
ham,1,5.0
moon,1,5.0
sausage,1,5.0
lemon,1,5.0
sorbet,1,5.0
tiger,1,5.0
buttery,1,5.0
fruit,1,5.0
shake,1,5.0
grape,1,5.0
cod,1,5.0
peppermint,1,5.0
gin,1,5.0
smore,1,5.0
halo,1,5.0
cookie,1,5.0
meatball,1,5.0
buffalo,1,5.0
madness,1,5.0
wok,1,5.0
cherry,1,5.0
float,1,5.0
weekend,1,5.0
sweet,1,5.0
chile,1,5.0
scotch,1,5.0
steam,1,5.0
mocha,1,5.0
peanut,1,5.0
cappuccino,1,5.0
pastry,1,5.0
reuben,1,5.0
tuna,1,5.0
brew,1,5.0
crumb,1,5.0
bakery,1,5.0
mouse,1,5.0
caprese,1,5.0
scramble,1,5.0
persian,1,5.0
specialty,1,5.0
italian,1,5.0
true,1,5.0
panini,1,5.0
broth,1,5.0
pasty,1,5.0
apple,1,5.0
turkey,1,5.0
feta,1,5.0
calzone,1,5.0
mary,1,5.0
bottomless,1,5.0
pitcher,1,5.0
marinara,1,5.0
pea,1,5.0
mediterranean,1,5.0
cotta,1,5.0
wrap,1,5.0
sugar,1,5.0
rigatoni,1,5.0
bagel,1,5.0
thigh,1,5.0
olive,1,5.0
ribs,1,5.0
batter,1,5.0
liver,1,5.0
montreal,1,5.0
coleslaw,1,5.0
butterscotch,1,5.0
crunchy,1,5.0
omelet,1,5.0
trio,1,5.0
coconut,1,5.0
oatmeal,1,5.0
goat,1,5.0
grille,1,5.0
bun,1,5.0
dim,1,5.0
bison,1,5.0
haddock,1,5.0
donut,1,5.0
moo,1,5.0
paneer,1,5.0
lettuce,1,5.0
patty,1,5.0
handroll,1,5.0
slaw,1,5.0
peach,1,5.0
trout,1,5.0
lager,1,5.0
lobster,1,5.0
meatloaf,1,3.0
brooklyn,1,2.0
soy,1,2.0
frosting,1,2.0
rib,1,2.0
vegas,1,1.0
creamy,1,1.0
torta,1,1.0
taro,1,1.0
bean,1,1.0
grain,1,1.0
american,1,1.0
cronut,1,1.0
herbs,1,1.0
