Dish,Count,Avg_Rating
seafood,70186,4.43240817257002
rice,44547,4.465104271892597
lime,25593,4.337904895869951
chicken,21934,4.56355429926138
porter,21246,4.237785936176252
bear,16043,4.478962787508577
tater,15382,4.390846443895425
sauce,15347,4.607480289307334
cheese,15219,4.612260989552579
ale,15119,4.325947483299159
cleveland,14417,4.760282999237019
beer,14268,4.682085786375118
east,13898,4.503237875953346
wine,13438,4.63804137520466
pizza,13005,4.500038446751285
wagyu,12777,4.357439148469879
arepa,12660,4.681832543443934
fried,12209,4.621344909492993
earl,11921,4.493498867544661
salad,11758,4.5534954924306765
bread,11160,4.572939068100359
punch,10730,4.625908667287991
cone,10611,4.194892093110931
burger,10004,4.562574970012024
elote,9840,4.637804878048783
hot,9699,4.573564284977844
breast,9585,4.562545644235769
beef,8995,4.662590327959997
daddy,8619,4.554472676644609
sweet,8421,4.6825792661203955
flavour,8233,4.494230535649238
mouse,7802,4.629197641630364
pate,7719,4.4415079673532825
cole,7593,4.5167917819043835
honey,7558,4.012966393225716
soup,7515,4.559813705921504
ring,7511,4.519105312208752
pork,7502,4.712343375099963
sandwich,7396,4.506760411032983
carne,7336,4.296210468920378
onion,6814,4.582624009392427
coffee,6736,4.553592636579553
steak,6529,4.540971052228534
appetizer,6476,4.653953057442873
thigh,5867,4.535367308675636
parm,5768,4.539355062413329
bacon,5749,4.667942250826245
brunch,5746,4.640793595544714
sour,5732,4.099790648988165
durian,5631,4.342035162493332
pasty,5549,4.494683726797614
brittle,5472,4.652777777777771
pinot,5421,4.370411363217114
dessert,5348,4.771503365744214
spicy,5242,4.729111026325831
power,5198,4.434782608695641
cool,5161,4.718465413679522
fish,5153,4.515816029497378
shrimp,4921,4.612477138792925
pasta,4840,4.5725206611570295
wok,4818,4.433789954337916
mint,4807,4.350738506344905
guinness,4802,4.125572678050811
sushi,4729,4.5753859166842865
cream,4629,4.659105638366819
pitcher,4604,4.213509991311905
danish,4569,4.619829284307287
cake,4432,4.612364620938625
chile,4286,4.470835277648149
sprout,4268,4.701265229615744
maine,4257,4.438101949729843
salty,4252,4.448494825964242
pao,4118,4.739436619718302
dill,4097,4.008786917256526
cashew,4088,4.32803326810175
flan,4053,4.682210708117451
polenta,4036,4.694003964321104
potato,3903,4.706635921086345
egg,3902,4.596360840594568
venison,3899,4.529110028212363
shake,3869,4.4130266218661225
persian,3869,4.275006461618
spice,3744,4.513888888888906
halo,3694,4.276935571196525
butter,3675,4.67727891156462
leek,3651,4.60586140783348
lavender,3632,4.367841409691627
italian,3621,4.715272024302678
taro,3487,4.239174075136236
crispy,3354,4.8112701252236025
apple,3354,4.676803816338693
salsa,3352,4.652446300715983
tacos,3344,4.611842105263164
mexican,3305,4.6081694402420545
bbq,3280,4.701524390243905
cronut,3243,4.268578476719086
eel,3203,4.6022478926006665
crab,3194,4.459924859110831
broth,3153,4.538534728829686
cheek,3138,3.9952198852772467
weekend,3059,4.677672441974526
wheat,3056,4.626308900523573
latte,2997,4.255922589255919
easter,2987,4.130231001004346
chai,2932,4.336630286493853
blanc,2928,4.161202185792351
set(),2923,4.349982894286701
bean,2912,4.646634615384609
seed,2871,4.432950191570879
curry,2868,4.562412831241299
chinese,2852,4.48948106591867
rustic,2810,4.603202846975097
aloo,2760,4.455797101449276
roll,2750,4.644363636363635
cookie,2705,4.331977818853973
true,2668,4.0146176911544265
sausage,2655,4.660640301318267
cod,2646,4.395691609977317
juice,2614,4.762433052792651
salmon,2595,4.669364161849707
thai,2595,4.640847784200377
ribs,2592,4.589891975308644
bisque,2581,4.426578845408756
tenderloin,2568,4.852803738317756
liver,2559,4.275107463853058
chocolate,2540,4.747637795275593
duck,2514,4.519490851233096
lettuce,2499,4.276110444177673
tea,2498,4.6349079263410635
dough,2473,4.496967246259607
taco,2467,4.471828131333591
garlic,2461,4.736286062576196
bun,2406,4.477971737323344
carmel,2402,4.539966694421307
corn,2396,4.672787979966616
cucumber,2365,4.6126849894291775
french,2364,4.719966159052456
burrito,2328,4.468213058419256
buffet,2308,4.384315424610048
ohio,2275,4.678241758241761
filet,2273,4.398152221733385
ice,2251,4.305641936916932
porcini,2238,4.670688114387844
lobster,2236,4.622540250447216
farm,2231,4.638278798744955
citrus,2195,4.661047835990889
batter,2155,4.44965197215776
pizzas,2137,4.645297145531114
indian,2121,4.631305987741643
specialty,2117,4.6972130373169625
sorbet,2110,4.535071090047396
grill,2096,4.370706106870229
trio,2093,4.692785475394171
asian,2086,4.60642377756471
chipotle,2016,4.2023809523809526
ginger,1954,4.690378710337767
brisket,1947,4.663585002568055
shell,1919,4.154247003647727
pie,1895,4.662269129287586
lamb,1875,4.766933333333335
calamari,1866,4.696677384780276
pepper,1853,4.597409606044256
tomato,1848,4.585497835497841
magic,1814,4.683020948180818
ive,1801,4.267629094947268
chili,1786,4.650055991041422
olive,1764,4.345804988662129
american,1763,4.653998865570049
spinach,1759,4.6776577600909475
pickle,1754,4.436145952109468
greek,1754,4.373432155074116
frozen,1719,4.324025596276905
tapas,1712,4.749415887850457
wonton,1692,4.692671394799051
guacamole,1684,4.673990498812353
soy,1672,4.050837320574158
chow,1661,4.537025888019264
rib,1652,4.6707021791767485
poutine,1651,4.710478497880065
hummus,1642,4.721680876979298
cocktail,1639,4.752898108602801
mushroom,1633,4.724433557868958
slaw,1632,4.600490196078429
skirt,1625,4.49784615384614
margarita,1618,4.630407911001233
pho,1614,4.731102850061968
hash,1606,4.6313823163138315
bison,1601,4.469706433479079
paneer,1599,4.255784865540954
dip,1574,4.686785260482852
coke,1571,4.1680458306810975
omelet,1538,4.627438231469439
creamy,1532,4.787206266318545
slice,1522,4.5177398160315425
tuna,1520,4.503289473684202
bagel,1515,4.0719471947194705
smore,1504,4.142952127659569
ayce,1492,4.302949061662192
cabbage,1489,4.415715245130952
tako,1472,4.426630434782607
gravy,1471,4.590074779061854
donut,1469,4.332198774676645
ham,1462,4.667578659370724
tart,1454,4.544016506189827
housemade,1442,4.823162274618591
budino,1440,4.603472222222226
crunchy,1438,4.762865090403339
avocado,1437,4.665970772442584
fruit,1429,4.672498250524856
gyro,1399,4.6554681915654035
boneless,1397,4.071581961345744
falafel,1378,4.668359941944845
noodle,1369,4.617238860482102
milkshake,1361,3.9331373989713447
moo,1350,4.683703703703705
lemon,1347,4.590942835931702
toast,1347,4.556792873051223
wing,1345,4.468401486988847
sesame,1335,4.362546816479396
buffalo,1327,4.600602863602105
pepperoni,1325,4.604528301886797
bottomless,1323,4.36961451247166
queso,1319,4.39196360879455
turkey,1316,4.5661094224924055
delish,1313,4.799695354150803
bon,1293,4.716163959783448
veggie,1286,4.705287713841365
basil,1282,4.762870514820597
sugar,1276,4.528213166144198
pita,1266,4.488941548183245
tahini,1231,4.546709991876516
milk,1227,4.623471882640581
eggplant,1222,4.64484451718494
stew,1219,4.500410172272353
plantain,1216,4.275493421052636
wrap,1211,4.540049545829896
chorizo,1200,4.829999999999999
grain,1182,4.433164128595605
smoothie,1181,4.462320067739205
desert,1172,4.587030716723541
scone,1160,4.5594827586207005
fin,1135,4.492511013215862
flower,1131,4.0088417329796675
karaage,1130,4.5309734513274345
cali,1130,4.234513274336287
brew,1124,4.732206405693947
mary,1118,4.596601073345253
mango,1099,4.807097361237483
banana,1091,4.761686526122832
bakery,1089,4.763085399449033
chip,1085,4.722580645161295
maple,1084,4.5470479704797
martini,1082,4.6756007393715375
miso,1080,4.614814814814819
tofu,1070,4.693457943925241
broccoli,1068,4.508426966292135
cheesy,1059,4.767705382436259
steam,1055,4.404739336492896
crisps,1037,4.746383799421403
guac,1032,4.655038759689921
holy,1031,4.395732298739093
vegas,1029,4.651117589893101
mustard,1024,4.7187500000000036
oatmeal,1022,4.73972602739725
cheddar,1015,4.730049261083746
scotch,997,4.722166499498492
dan,993,4.558912386706952
princess,991,4.552976791120062
fry,986,4.448275862068963
sage,986,4.378296146044628
ranch,976,4.269467213114756
savory,970,4.89175257731959
hibachi,970,4.494845360824749
grape,961,4.552549427679497
coleslaw,957,4.644723092998955
choy,950,4.827368421052632
mayo,945,4.494179894179891
mozzarella,941,4.679064824654628
cant,930,4.487096774193542
pancake,929,4.545748116254035
tinga,924,4.3409090909090855
carrot,922,4.610629067245119
jalapeno,921,4.747014115092297
nachos,913,4.495071193866378
peanut,912,4.640350877192986
recipe,893,4.172452407614782
mojito,882,4.851473922902488
madness,879,3.783845278725825
layer,875,4.473142857142856
flatbread,872,4.597477064220187
peach,868,4.679723502304148
dim,868,4.458525345622117
smoke,866,4.414549653579671
tortilla,864,4.471064814814832
coconut,858,4.757575757575754
cheesecake,857,4.644107351225207
vegetable,852,4.532863849765254
boba,851,4.576968272620446
magret,850,4.621176470588232
gouda,849,4.528857479387515
compote,843,4.444839857651248
soda,843,4.291814946619215
goat,838,4.732696897374702
rocky,822,4.523114355231147
meatball,804,4.568407960199008
okra,802,4.452618453865333
trout,797,4.682559598494348
matcha,794,4.54785894206549
udon,794,4.2455919395466015
bourbon,790,4.789873417721516
patty,787,4.541296060991102
panini,782,4.387468030690546
brewery,770,4.7883116883116905
cilantro,770,4.75064935064935
beet,769,4.7763328998699635
curd,766,4.0861618798955694
arugula,755,4.725827814569536
shank,750,4.500000000000002
cinnamon,747,4.685408299866125
caesar,744,4.642473118279565
ketchup,740,4.287837837837841
satay,735,4.450340136054421
chilli,733,4.335607094133699
chicago,730,4.660273972602739
marinara,728,4.62912087912088
frosting,725,4.51310344827586
moon,724,4.450276243093924
ravioli,723,4.7192254495159025
chowder,721,4.599167822468793
sando,721,4.518723994452143
assortment,712,4.703651685393254
pineapple,703,4.762446657183495
veal,701,4.70470756062768
asparagus,697,4.720229555236726
plum,694,4.7881844380403455
tartine,692,4.559248554913292
grey,687,4.294032023289658
brewing,686,4.558309037900874
pretzel,685,4.671532846715329
grilled,683,4.758418740849195
waffle,683,4.601756954612005
wedge,676,4.532544378698222
cutlet,671,4.7123695976155044
nutella,669,4.266068759342303
reuben,668,4.6706586826347305
malt,663,4.69381598793363
bistro,662,4.858006042296074
buttery,660,4.830303030303027
gnocchi,660,4.821212121212124
confit,660,4.701515151515154
caramel,659,4.784522003034901
lean,657,4.5677321156773205
cajun,653,4.695252679938747
liquor,652,4.66411042944785
omelette,652,4.553680981595088
lager,649,4.244992295839754
goose,648,4.805555555555561
roast,648,4.425925925925929
brownie,645,4.682170542635652
sundae,644,4.541925465838511
cowboy,643,4.6531881804043564
brussel,637,4.725274725274728
naan,636,4.718553459119502
barbecue,636,4.665094339622639
japanese,636,4.614779874213837
snack,635,4.757480314960625
pig,634,4.700315457413255
risotto,630,4.7095238095238185
balsamic,623,4.850722311396463
parma,623,4.595505617977528
mole,608,4.422697368421049
quesadilla,605,4.573553719008265
steakhouse,603,4.575456053068
cheeseburger,599,4.495826377295488
petite,597,4.331658291457287
quiche,595,4.7042016806722735
creme,593,4.7150084317031995
aioli,592,4.883445945945942
charcuterie,591,4.715736040609136
syrup,591,4.450084602368861
march,589,4.60611205432938
bubble,586,4.691126279863476
bella,583,4.45969125214408
almond,582,4.769759450171819
candy,581,4.612736660929429
crepe,579,4.718480138169261
quail,578,4.8806228373702405
cornbread,576,4.774305555555556
pesto,574,4.6811846689895455
snapper,572,4.706293706293705
puree,568,4.464788732394363
korean,566,4.766784452296817
celery,565,4.465486725663717
souffle,564,4.702127659574463
burritos,564,4.606382978723404
protein,564,4.508865248226955
crack,562,4.537366548042703
torta,560,4.27321428571429
espresso,555,4.5819819819819765
lasagna,554,4.673285198555958
pierogi,553,4.78842676311031
mediterranean,552,4.641304347826087
cherry,551,4.704174228675135
romaine,549,4.51366120218579
clam,539,4.454545454545454
vinegar,538,4.667286245353155
iced,537,4.45996275605214
loaf,536,4.611940298507465
feta,533,4.606003752345214
hamburger,533,4.302063789868666
radish,533,4.065666041275799
pastry,532,4.738721804511277
skillet,526,4.551330798479082
jam,524,4.772900763358775
polish,516,4.7034883720930285
bento,515,4.442718446601938
rub,507,4.785009861932941
alfredo,507,4.571992110453649
valentine,505,4.621782178217823
ribeye,504,4.70634920634921
parmesan,504,4.698412698412702
float,497,4.444668008048293
mahi,495,4.638383838383843
marrow,492,4.715447154471544
tequila,492,4.6280487804878065
jello,487,4.277207392197125
sake,485,4.468041237113406
truffle,483,4.844720496894408
granola,483,4.780538302277429
irish,478,4.656903765690377
