Dish,Count,Avg_Rating
seafood,2839,4.293765410355776
rice,1732,4.344110854503465
chicken,997,4.431293881644939
lime,952,4.176470588235296
porter,938,4.03837953091685
arepa,699,4.60801144492132
cheese,627,4.543859649122807
punch,592,4.624999999999999
ale,558,4.109318996415774
sauce,549,4.453551912568303
wine,496,4.516129032258068
pizza,496,4.3508064516129
bear,495,4.393939393939394
tater,495,4.236363636363638
burger,484,4.504132231404954
wagyu,469,4.1300639658848635
cone,452,4.048672566371685
east,451,4.266075388026604
breast,421,4.460807600950116
beer,419,4.522673031026253
salad,419,4.422434367541765
earl,399,4.2631578947368425
fried,392,4.586734693877549
elote,369,4.574525745257458
daddy,340,4.391176470588231
sushi,335,4.429850746268659
hot,334,4.446107784431129
bread,319,4.476489028213162
flavour,316,4.417721518987341
pork,315,4.67936507936508
honey,309,3.7572815533980584
shrimp,308,4.603896103896101
onion,300,4.523333333333333
carne,292,4.219178082191786
charlotte,287,4.770034843205576
cole,286,4.2167832167832175
sandwich,285,4.533333333333336
beef,275,4.618181818181819
pate,272,4.290441176470585
bacon,269,4.657992565055759
fish,267,4.60674157303371
sweet,265,4.569811320754715
mouse,264,4.49242424242424
bbq,261,4.63984674329502
ring,246,4.296747967479677
power,243,4.296296296296293
soup,234,4.4999999999999964
coffee,231,4.424242424242422
durian,220,4.159090909090912
guinness,211,3.838862559241706
cake,210,4.4476190476190425
pinot,201,4.253731343283586
brunch,198,4.575757575757576
parm,186,4.4193548387096735
thigh,185,4.389189189189193
chile,181,4.160220994475137
ribs,179,4.620111731843574
pasta,175,4.508571428571432
pitcher,175,4.057142857142859
chinese,170,4.647058823529411
potato,169,4.6449704142011825
wok,168,4.291666666666667
brittle,167,4.455089820359278
sour,166,3.5180722891566263
steak,163,4.435582822085888
appetizer,162,4.370370370370372
mint,160,3.90625
pasty,158,4.189873417721521
roll,156,4.346153846153846
leek,155,4.561290322580642
egg,154,4.467532467532466
sprout,150,4.66
maine,149,4.140939597315435
salty,145,4.248275862068967
cashew,145,3.820689655172414
tortilla,143,4.6573426573426575
dill,143,3.7412587412587412
spicy,139,4.669064748201437
persian,139,3.949640287769784
set(),138,4.420289855072466
shake,137,4.0510948905109485
cream,134,4.544776119402985
flan,130,4.584615384615384
cool,129,4.666666666666667
hash,128,4.703125
bagel,128,4.28125
butter,126,4.603174603174603
cronut,126,3.9047619047619047
crab,124,4.266129032258067
taro,123,4.048780487804881
dessert,122,4.786885245901639
italian,121,4.578512396694214
true,120,3.5083333333333333
blanc,118,4.008474576271187
weekend,116,4.405172413793102
venison,116,4.181034482758622
polenta,115,4.600000000000002
lavender,115,4.2434782608695665
latte,115,3.9217391304347826
tapas,113,4.787610619469029
crispy,112,4.830357142857143
tea,110,4.336363636363638
lettuce,109,4.3669724770642215
aloo,109,4.064220183486238
easter,108,3.8888888888888897
eel,107,4.663551401869159
danish,107,4.63551401869159
mexican,107,4.6355140186915875
cheek,107,3.7757009345794392
asian,105,4.561904761904763
salsa,105,4.533333333333334
bun,104,4.192307692307692
slaw,100,4.600000000000001
seed,99,4.353535353535354
juice,98,4.612244897959183
duck,98,4.153061224489797
pie,97,4.6494845360824755
cod,97,4.216494845360825
apple,96,4.552083333333333
batter,96,4.302083333333333
greek,95,4.473684210526315
halo,94,3.989361702127662
indian,93,4.516129032258067
bison,93,4.32258064516129
spice,92,4.489130434782608
gravy,91,4.582417582417587
chai,91,4.175824175824176
ice,91,4.109890109890109
magic,89,4.730337078651686
ive,89,4.112359550561799
salmon,88,4.670454545454546
brisket,87,4.7126436781609184
corn,87,4.597701149425287
porcini,87,4.551724137931033
cookie,87,4.103448275862069
tenderloin,85,4.764705882352943
rustic,85,4.376470588235295
liver,85,4.235294117647059
farm,84,4.7857142857142865
french,84,4.73809523809524
bisque,84,4.273809523809525
sausage,82,4.475609756097564
buffet,82,4.414634146341464
lobster,81,4.543209876543208
buffalo,80,4.6499999999999995
frozen,79,4.164556962025317
toast,78,4.705128205128208
dough,78,4.128205128205129
slice,75,4.706666666666665
grill,75,4.120000000000002
smore,74,3.675675675675676
spinach,73,4.6301369863013715
poutine,73,4.589041095890413
pao,73,4.4657534246575326
cucumber,71,4.436619718309861
specialty,70,4.628571428571429
tomato,68,4.676470588235296
chili,66,4.590909090909091
fruit,65,4.5384615384615365
carmel,64,4.125000000000001
milkshake,64,4.09375
trio,63,4.777777777777778
dip,63,4.698412698412699
taco,63,4.412698412698413
broth,63,4.412698412698413
tacos,62,4.758064516129032
garlic,62,4.419354838709677
wheat,61,4.60655737704918
bean,61,4.590163934426231
ham,61,4.540983606557377
pepper,61,4.278688524590164
filet,61,4.19672131147541
flower,61,3.5245901639344264
meatloaf,60,4.8
american,60,4.75
ranch,60,4.466666666666666
curry,60,4.366666666666666
rib,59,4.5254237288135615
skirt,59,4.440677966101696
biscuit,59,4.271186440677966
soy,56,3.4285714285714284
nachos,55,4.436363636363636
hibachi,54,4.185185185185183
shell,54,3.888888888888889
coke,54,3.7962962962962963
carolina,53,4.7924528301886795
barbecue,52,4.884615384615383
chocolate,52,4.769230769230772
avocado,52,4.442307692307695
pizzas,52,4.365384615384614
cali,51,4.078431372549019
moo,50,4.559999999999999
creamy,49,4.734693877551021
citrus,49,4.489795918367349
omelet,49,4.489795918367347
ginger,49,4.224489795918367
soda,49,4.224489795918367
milk,49,4.122448979591836
bon,48,4.645833333333333
delish,48,4.604166666666668
pickle,48,4.104166666666667
recipe,48,3.375
broccoli,47,4.680851063829789
wing,47,4.425531914893618
tako,47,4.297872340425532
sesame,47,4.1063829787234045
queso,47,3.936170212765958
housemade,46,4.6739130434782625
olive,46,4.369565217391304
budino,46,4.369565217391304
scotch,45,4.533333333333334
wrap,45,4.177777777777778
ayce,45,4.088888888888889
burrito,44,4.045454545454546
hummus,43,4.883720930232557
pho,43,4.790697674418604
donut,43,4.558139534883719
sorbet,43,3.953488372093024
waffle,42,4.595238095238095
madness,42,3.5714285714285716
vinegar,41,4.7073170731707314
hamburger,41,4.024390243902439
grain,40,4.05
boneless,40,3.575
mushroom,39,4.871794871794871
coleslaw,38,4.789473684210527
gyro,38,4.473684210526316
fry,38,4.421052631578948
okra,38,4.31578947368421
smoothie,38,4.2631578947368425
bottomless,38,4.105263157894737
grilled,37,4.810810810810811
custard,37,4.702702702702703
karaage,37,4.5945945945945965
crunchy,37,4.5945945945945965
mustard,37,4.567567567567567
cajun,37,4.54054054054054
miso,37,4.513513513513513
guacamole,37,4.45945945945946
marinara,37,4.351351351351352
patty,37,4.324324324324325
sage,37,4.324324324324325
smoke,37,4.162162162162162
eggplant,36,4.6944444444444455
calzone,36,4.527777777777778
steam,36,4.333333333333333
maple,36,4.305555555555555
tart,36,4.194444444444445
plantain,36,3.8055555555555554
mojito,35,4.857142857142857
chorizo,35,4.8
calamari,35,4.257142857142858
radish,35,3.4285714285714284
quiche,34,4.823529411764706
fin,34,4.764705882352941
cowboy,34,4.617647058823529
meatball,34,4.470588235294118
tuna,33,4.212121212121214
cinnamon,32,4.96875
malt,32,4.593750000000002
cherry,32,4.5625
frosting,32,4.3125
cabbage,32,4.093749999999997
holy,32,4.000000000000002
plum,31,4.67741935483871
lasagna,31,4.516129032258066
desert,31,4.483870967741937
alfredo,31,4.483870967741937
lemon,31,4.483870967741937
tahini,31,4.451612903225807
sugar,31,4.354838709677421
stew,31,4.064516129032259
pepperoni,31,3.9999999999999996
ketchup,31,3.870967741935484
cheddar,30,4.633333333333334
goose,30,4.633333333333334
turkey,30,4.5
cant,30,4.433333333333335
mayo,30,4.2
compote,30,4.199999999999999
bistro,29,4.827586206896552
mozzarella,29,4.7586206896551735
omelette,29,4.551724137931035
mary,29,4.517241379310346
march,29,4.448275862068966
colada,28,4.857142857142857
catfish,28,4.821428571428571
margarita,28,4.714285714285714
oatmeal,28,4.678571428571429
matcha,28,4.642857142857143
stout,28,4.57142857142857
pancake,28,4.214285714285715
paneer,28,4.17857142857143
falafel,27,4.851851851851852
cobb,27,4.740740740740741
japanese,27,4.296296296296297
wedge,27,4.25925925925926
brussel,26,4.923076923076923
roast,26,4.346153846153846
reuben,26,4.307692307692308
vegas,26,4.153846153846154
cheesy,25,4.6000000000000005
tofu,25,4.56
quesadilla,25,4.480000000000001
wonton,25,4.280000000000001
vegetable,25,4.28
tartine,25,4.08
banana,24,4.958333333333333
cilantro,24,4.708333333333334
crisps,24,4.708333333333333
chow,24,4.666666666666667
peach,24,4.625
layer,24,4.583333333333332
bella,24,4.541666666666667
basil,24,4.416666666666667
oat,24,4.416666666666667
crack,24,4.291666666666667
shank,24,3.8333333333333335
tinga,24,3.5833333333333335
moon,23,4.869565217391305
jalapeno,23,4.739130434782608
syrup,23,4.695652173913044
asparagus,23,4.652173913043478
creek,23,4.608695652173913
cocktail,23,4.608695652173913
lemonade,23,4.521739130434783
penne,23,4.478260869565217
cuban,23,4.391304347826087
cheeseburger,23,4.260869565217392
raisin,23,3.5217391304347827
grape,22,4.454545454545454
brewing,22,4.318181818181819
choy,22,4.318181818181818
princess,22,4.2727272727272725
puree,22,3.9545454545454546
nutella,22,3.9545454545454546
shack,22,3.8636363636363638
balsamic,21,5.0
quail,21,4.904761904761905
scoop,21,4.714285714285714
ravioli,21,4.428571428571429
pear,21,4.285714285714286
float,21,4.095238095238095
lamb,20,5.0
brownie,20,4.55
veggie,20,4.5
peanut,20,4.4
pita,20,4.2
grey,20,4.0
fiesta,19,4.947368421052632
blueberry,19,4.947368421052632
jam,19,4.894736842105263
chowder,19,4.894736842105263
celery,19,4.842105263157895
parmesan,19,4.842105263157895
trout,19,4.7368421052631575
scallop,19,4.684210526315789
mahi,19,4.631578947368421
candy,19,4.315789473684211
martini,19,4.0
lean,19,3.9473684210526314
udon,19,3.736842105263158
protein,19,3.5789473684210527
brioche,18,4.944444444444445
risotto,18,4.833333333333333
cheesecake,18,4.777777777777778
bakery,18,4.777777777777778
dan,18,4.666666666666666
souffle,18,4.555555555555555
sundae,18,4.5
scone,18,4.444444444444445
caesar,18,4.333333333333333
panini,18,4.277777777777778
chip,18,4.055555555555555
thai,18,4.0
curd,18,3.7777777777777777
goat,17,4.9411764705882355
mediterranean,17,4.882352941176471
assortment,17,4.764705882352941
beet,17,4.764705882352941
savory,17,4.647058823529412
empanadas,17,4.588235294117646
carrot,17,4.470588235294118
sando,17,4.411764705882352
cannoli,17,4.411764705882352
oyster,17,4.117647058823529
ribeye,17,4.0
masa,17,3.588235294117647
hoagie,16,5.0
bento,16,4.875
liquor,16,4.75
vanilla,16,4.625
noodle,16,4.5625
feta,16,4.562499999999999
boba,16,4.5
asada,16,4.5
brew,16,4.5
carbonara,16,4.375
iced,16,4.374999999999999
petite,16,4.3125
satay,16,4.3125
lump,16,4.3125
whip,16,4.25
chilli,16,4.062500000000001
lager,16,4.0
dim,16,3.875
pineapple,15,5.0
snack,15,4.866666666666666
burritos,15,4.8
strawberry,15,4.8
truffle,15,4.666666666666667
noir,15,4.6
jerky,15,4.6
edamame,15,4.466666666666667
snapper,15,4.4
muffin,15,4.333333333333333
confit,15,4.333333333333332
oshi,15,4.200000000000001
porridge,15,4.133333333333334
romaine,15,4.133333333333333
torta,15,4.066666666666666
rocky,15,4.066666666666666
roe,15,4.0
pesto,15,3.7333333333333334
tempe,15,3.3333333333333335
lentil,14,5.0
pollo,14,5.0
habanero,14,5.0
granola,14,4.928571428571429
cider,14,4.857142857142857
porchetta,14,4.785714285714286
mimosas,14,4.785714285714286
bourbon,14,4.714285714285714
fudge,14,4.714285714285714
magret,14,4.57142857142857
loaf,14,4.57142857142857
clam,14,4.5
cheesesteak,14,4.428571428571429
jello,14,4.214285714285714
mole,14,4.071428571428571
herb,14,3.9285714285714284
caramel,13,5.0
cornbread,13,4.846153846153846
tangy,13,4.6923076923076925
chimichanga,13,4.6923076923076925
creme,13,4.6923076923076925
bleu,13,4.461538461538463
fillet,13,4.461538461538462
rum,13,4.384615384615385
tempura,13,4.384615384615385
macaroni,13,4.230769230769231
cotton,13,3.769230769230769
galette,13,3.5384615384615383
arugula,12,5.0
gnocchi,12,5.0
kale,12,5.0
jumbo,12,5.0
chipotle,12,4.916666666666667
aioli,12,4.833333333333333
pea,12,4.75
mimosa,12,4.666666666666667
benny,12,4.666666666666667
pastrami,12,4.666666666666667
panna,12,4.583333333333334
zucchini,12,4.416666666666667
marrow,12,4.166666666666667
kung,12,4.0
grille,12,3.6666666666666665
gouda,12,3.0
coconut,11,5.0
pig,11,5.0
pastry,11,5.0
ceviche,11,5.0
skillet,11,4.909090909090909
passionfruit,11,4.636363636363637
gooey,11,4.636363636363637
blackberry,11,4.636363636363637
spanish,11,4.636363636363637
rub,11,4.636363636363637
dragon,11,4.545454545454546
fondue,11,4.545454545454546
mash,11,4.545454545454546
lox,11,4.454545454545454
sake,11,4.2727272727272725
gumbo,11,4.2727272727272725
jar,11,4.090909090909091
colorado,11,3.909090909090909
florentine,11,3.909090909090909
tableside,11,3.727272727272727
empanada,10,5.0
baklava,10,5.0
pretzel,10,4.9
boston,10,4.8
raspberry,10,4.7
tendon,10,4.6
veal,10,4.6
ricotta,10,4.6
almond,10,4.6
hollandaise,10,4.6
soba,10,4.5
irish,10,4.4
handmade,10,3.9
espresso,10,3.8
valentine,10,3.8
cactus,10,2.7
mango,9,5.0
sashimi,9,4.777777777777778
kong,9,4.777777777777778
gelato,9,4.666666666666667
enchilada,9,4.666666666666667
squash,9,4.666666666666667
pecorino,9,4.444444444444445
herbs,9,4.444444444444445
bingsoo,9,4.444444444444445
pecan,9,4.444444444444445
southwest,9,4.333333333333333
steakhouse,9,4.222222222222222
cutlet,9,4.111111111111111
san,9,4.0
toro,9,3.888888888888889
cumin,9,3.7777777777777777
blossom,9,3.2222222222222223
watermelon,8,5.0
vinaigrette,8,5.0
buttery,8,5.0
fritter,8,5.0
organic,8,5.0
butternut,8,5.0
szechuan,8,5.0
galbi,8,4.875
sicilian,8,4.875
oregano,8,4.875
creole,8,4.875
walnut,8,4.875
sourdough,8,4.875
flatbread,8,4.75
stromboli,8,4.75
guac,8,4.75
marinade,8,4.625
brewery,8,4.625
squid,8,4.625
caprese,8,4.5
popcorn,8,4.5
berry,8,4.5
tartare,8,4.5
halal,8,4.5
sirloin,8,4.5
harvest,8,4.5
charcuterie,8,4.5
remoulade,8,4.375
belgian,8,4.25
brulee,8,4.25
sriracha,8,4.125
korean,8,4.125
rosewater,8,4.125
barley,8,4.125
overload,8,4.125
fettuccine,8,4.0
mackerel,8,3.875
yogurt,8,3.7500000000000004
paradise,7,5.0
champagne,7,5.0
pumpkin,7,5.0
andouille,7,5.0
montreal,7,5.0
pudding,7,5.0
marshmallow,7,5.0
tzatziki,7,5.0
enchiladas,7,4.857142857142857
jambalaya,7,4.857142857142857
chia,7,4.714285714285714
tequila,7,4.714285714285714
vietnamese,7,4.571428571428571
vodka,7,4.428571428571429
sangria,7,4.428571428571429
barbacoa,7,4.428571428571429
praline,7,4.428571428571429
oxtail,7,4.285714285714286
tobiko,7,4.285714285714286
bolognese,7,4.142857142857143
torte,7,4.0
mayonnaise,7,3.7142857142857144
bellini,7,3.5714285714285716
fruity,7,1.8571428571428572
basmati,6,5.0
tiramisu,6,5.0
alaskan,6,5.0
sunshine,6,5.0
melon,6,5.0
tiger,6,5.0
horchata,6,5.0
brooklyn,6,5.0
focaccia,6,5.0
antipasto,6,4.833333333333333
horseradish,6,4.833333333333333
americano,6,4.666666666666667
lengua,6,4.5
cesar,6,4.333333333333333
yam,6,4.333333333333333
scampi,6,4.333333333333333
bao,6,4.333333333333333
chutney,6,4.333333333333333
german,6,4.333333333333333
nigiri,6,4.166666666666667
apricot,6,4.166666666666667
coriander,6,3.8333333333333335
frappe,6,3.8333333333333335
provolone,6,3.6666666666666665
salami,6,3.3333333333333335
granny,6,3.3333333333333335
