Dish,Count,Avg_Rating
seafood,29722,4.4763138415988175
rice,18975,4.504031620553317
lime,11261,4.4587514430334725
porter,9718,4.374768470878802
chicken,8859,4.597358618354224
cheese,7904,4.673329959514146
beer,7512,4.698881789137363
sauce,7364,4.659288430200974
bear,7224,4.562430786267996
ale,6986,4.468365302032644
tater,6950,4.44474820143886
east,6515,4.554719877206447
wagyu,5698,4.451912951912952
fried,5631,4.641271532587443
wine,5573,4.714157545307716
earl,5557,4.55749505128667
salad,5166,4.61962833914052
punch,5150,4.6580582524271685
breast,5038,4.638944025406907
bread,5004,4.6456834532374165
elote,4972,4.665124698310542
cone,4936,4.3316450567260985
pizza,4920,4.554674796747957
burger,4674,4.65810868635002
coffee,4663,4.669526056187005
arepa,4274,4.712447356106689
flavour,4240,4.5509433962264145
hot,4224,4.560369318181825
miso,4175,4.696287425149691
daddy,4075,4.638773006134964
fish,3942,4.618975139523098
pate,3821,4.530489400680441
sandwich,3805,4.601051248357421
pork,3799,4.711766254277447
sweet,3761,4.722148364796594
cole,3749,4.576420378767668
beef,3743,4.652685012022438
ring,3697,4.589937787395194
brunch,3607,4.691156085389515
soup,3584,4.603236607142855
mouse,3563,4.678922256525408
onion,3355,4.60268256333832
carne,3012,4.397078353253644
spicy,2983,4.745893395910174
honey,2945,4.184380305602718
thigh,2823,4.583776124690043
steak,2811,4.637139807897542
bacon,2731,4.752105455876978
danish,2602,4.60568793235972
appetizer,2568,4.676012461059194
sour,2543,4.230043255996854
cream,2536,4.689668769716092
durian,2521,4.44109480364934
parm,2452,4.578303425774886
brittle,2423,4.686751960379696
pinot,2394,4.436507936507948
cake,2386,4.66722548197821
dessert,2362,4.7861981371718825
cool,2348,4.727001703577509
pasty,2326,4.568357695614795
cashew,2283,4.4310118265440135
egg,2235,4.686353467561519
wok,2127,4.577809120827463
salty,2102,4.486679352997151
mint,2101,4.4673964778676805
potato,2092,4.775812619502877
shrimp,2041,4.654091131798139
flan,1967,4.737671581087949
curry,1967,4.642094560244028
persian,1954,4.362845445240536
chile,1941,4.499742400824317
maine,1908,4.522536687631018
sushi,1891,4.569539925965107
pasta,1886,4.60180275715801
pitcher,1886,4.343584305408273
polenta,1881,4.748006379585325
spice,1877,4.6233351092168276
guinness,1852,4.212203023758111
sprout,1828,4.770787746170673
weekend,1799,4.728182323513065
shake,1774,4.608229988726052
dill,1734,4.181660899653979
mexican,1700,4.615294117647065
power,1687,4.509187907528165
taro,1676,4.342482100238647
leek,1665,4.702102102102109
lavender,1648,4.396844660194182
salsa,1635,4.659938837920489
latte,1619,4.394688079061144
eel,1605,4.674143302180681
venison,1593,4.553672316384187
crispy,1578,4.802281368821293
halo,1574,4.328462515883101
liver,1538,4.232769830949282
blanc,1503,4.200931470392554
broth,1490,4.595973154362411
crab,1483,4.560350640593388
cod,1477,4.522681110358838
butter,1474,4.700135685210318
wheat,1462,4.690150478796166
tapas,1433,4.814375436147944
bbq,1409,4.700496806245571
apple,1404,4.730769230769227
chinese,1402,4.465763195435094
chocolate,1385,4.784837545126356
buffet,1382,4.57091172214183
farm,1358,4.7430044182621565
tacos,1344,4.669642857142851
bun,1302,4.639784946236569
cheek,1284,4.215732087227411
seed,1280,4.561718750000001
cronut,1264,4.3148734177215236
easter,1259,4.291501191421771
sausage,1258,4.7241653418124026
tea,1254,4.753588516746416
roll,1250,4.681599999999998
rustic,1235,4.660728744939271
cucumber,1231,4.614947197400496
batter,1198,4.591819699499166
french,1190,4.753781512605036
tenderloin,1189,4.867956265769566
duck,1182,4.534686971235197
chai,1176,4.482142857142854
true,1168,4.254280821917806
set(),1161,4.340223944875105
juice,1159,4.750647109577224
thai,1157,4.655142610198788
pie,1153,4.699045967042491
italian,1149,4.703220191470847
bean,1147,4.663469921534439
specialty,1138,4.73462214411248
sorbet,1136,4.522007042253517
garlic,1130,4.753982300884956
aloo,1120,4.541071428571432
cocktail,1119,4.7730116175156505
citrus,1117,4.702775290957923
salmon,1114,4.760323159784564
cookie,1114,4.459605026929986
carmel,1093,4.579139981701734
burrito,1074,4.581005586592182
corn,1069,4.68381665107577
sugar,1054,4.744781783681209
ice,1045,4.413397129186599
pizzas,1037,4.690453230472519
lettuce,1035,4.403864734299515
indian,1020,4.721568627450983
american,1015,4.708374384236455
lamb,992,4.722782258064514
grill,982,4.521384928716911
slice,965,4.562694300518141
asian,957,4.5287356321839045
brisket,941,4.691817215727946
magic,940,4.660638297872344
chili,939,4.724174653887116
paneer,936,4.5480769230769225
hash,934,4.731263383297642
trio,933,4.730975348338692
taco,922,4.454446854663768
ham,920,4.691304347826085
porcini,909,4.676567656765688
avocado,908,4.736784140969159
tomato,908,4.651982378854626
spinach,896,4.7388392857142785
poutine,887,4.76437429537768
ginger,887,4.700112739571579
ribs,884,4.6040723981900475
dough,877,4.450399087799323
bisque,841,4.530321046373367
mary,829,4.655006031363088
pao,816,4.787990196078425
olive,808,4.545792079207921
pepper,807,4.630731102850054
fruit,803,4.745952677459529
creamy,800,4.819999999999998
shell,790,4.232911392405059
frozen,784,4.3826530612244925
filet,780,4.433333333333334
mushroom,777,4.7580437580437644
bottomless,768,4.494791666666665
crunchy,767,4.782268578878743
smore,757,4.3130779392338185
bakery,750,4.716
skirt,742,4.504043126684636
noodle,737,4.62279511533243
tofu,736,4.645380434782614
budino,734,4.621253405994555
veggie,725,4.740689655172402
soy,724,4.171270718232039
tart,714,4.661064425770304
ive,700,4.340000000000002
bagel,695,4.234532374100723
bison,687,4.4876273653566265
chicago,686,4.634110787172013
cheddar,679,4.807069219440349
rib,678,4.629793510324492
sesame,678,4.505899705014749
milk,675,4.616296296296293
tuna,673,4.62852897473997
pita,661,4.5506807866868355
chow,656,4.557926829268292
donut,652,4.452453987730061
brew,648,4.783950617283951
soda,645,4.379844961240309
falafel,644,4.6444099378882004
savory,642,4.859813084112155
greek,639,4.4319248826291044
toast,637,4.618524332810046
gravy,630,4.676190476190475
wonton,623,4.696629213483146
moo,622,4.68006430868167
hummus,616,4.60551948051948
housemade,615,4.856910569105691
coke,615,4.252032520325201
scone,610,4.657377049180327
ayce,605,4.45289256198347
cilantro,598,4.841137123745823
tako,591,4.507614213197967
carrot,589,4.5500848896434665
ranch,589,4.539898132427847
slaw,585,4.531623931623934
princess,583,4.696397941680958
lemon,583,4.672384219554027
stew,582,4.625429553264604
dip,581,4.774526678141138
tahini,578,4.6228373702422125
peanut,573,4.691099476439791
pho,573,4.638743455497381
chip,572,4.7360139860139885
pickle,562,4.556939501779362
omelet,561,4.659536541889488
choy,560,4.837499999999995
margarita,557,4.581687612208262
basil,555,4.762162162162164
bon,544,4.759191176470587
crisps,537,4.797020484171322
pancake,537,4.631284916201121
guacamole,527,4.64136622390891
grain,520,4.546153846153846
fry,518,4.532818532818535
oatmeal,514,4.805447470817121
plantain,514,4.313229571984436
buffalo,513,4.643274853801168
tinga,512,4.30078125
wing,508,4.602362204724406
milkshake,508,3.9330708661417333
lobster,505,4.6990099009901005
nachos,505,4.588118811881182
flower,505,4.16633663366337
delish,503,4.699801192842936
mustard,500,4.717999999999998
desert,497,4.571428571428569
coconut,491,4.839103869653766
fin,488,4.596311475409841
sage,487,4.515400410677622
karaage,486,4.55144032921811
recipe,485,4.31546391752577
beet,484,4.793388429752065
maple,483,4.621118012422364
cali,473,4.2452431289640575
boneless,471,4.205944798301486
broccoli,466,4.643776824034333
chipotle,463,4.632829373650108
eggplant,461,4.7418655097613795
cheesy,461,4.704989154013013
queso,460,4.408695652173913
magret,458,4.768558951965072
mozzarella,455,4.797802197802201
quiche,453,4.699779249448131
steam,453,4.483443708609274
dan,451,4.53436807095343
coleslaw,450,4.697777777777774
patty,447,4.655480984340043
vegetable,444,4.6171171171171155
cabbage,442,4.278280542986419
scotch,441,4.793650793650792
wrap,436,4.504587155963307
cinnamon,435,4.786206896551726
mayo,435,4.627586206896549
smoke,434,4.550691244239623
vegas,432,4.6782407407407405
tortilla,424,4.49764150943397
assortment,423,4.697399527186762
gyro,423,4.411347517730493
espresso,422,4.6208530805687245
mojito,419,4.8353221957040615
calamari,419,4.680190930787584
smoothie,419,4.587112171837714
gouda,419,4.46778042959427
pesto,418,4.784688995215313
chorizo,416,4.86538461538462
